SRR number	Sample type
SRR12656875	river sediment
SRR12656877	river sediment
SRR12656878	river sediment
SRR12656880	river sediment
SRR12656881	river sediment
SRR12656885	river sediment
SRR3280896	river sediment
SRR5215464	river sediment
SRR5215466	river sediment
SRR5535863	river sediment
SRR5535864	river sediment
SRR5535865	river sediment
SRR5535868	river sediment
SRR5535869	river sediment
SRR5535870	river sediment
SRR5535871	river sediment
SRR5535881	river sediment
SRR5535882	river sediment
SRR5535883	river sediment
SRR5535884	river sediment
SRR5535885	river sediment
SRR5535886	river sediment
SRR5535887	river sediment
SRR5535888	river sediment
SRR5535889	river sediment
SRR5535890	river sediment
SRR6481338	river sediment
SRR6481359	river sediment
SRR6481365	river sediment
SRR7760390	river sediment
SRR19611647	aquaculture
SRR19611648	aquaculture
SRR19611655	aquaculture
SRR19611656	aquaculture
SRR19611657	aquaculture
SRR19611658	aquaculture
SRR19611659	aquaculture
SRR19611660	aquaculture
SRR19611661	aquaculture
SRR19611662	aquaculture
SRR19611663	aquaculture
SRR19611664	aquaculture
SRR18969721	river sediment
SRR18969722	river sediment
SRR18969727	estuarine sediment
SRR18969728	estuarine sediment
SRR18283707	river sediment
SRR18283708	river sediment
SRR18283709	river sediment
SRR17848295	river sediment
SRR17848296	river sediment
SRR17848297	river sediment
SRR17848298	river sediment
SRR17848299	river sediment
SRR17562723	river sediment
SRR17562725	river sediment
SRR17562726	river sediment
SRR17562728	river sediment
SRR17562730	river sediment
SRR17562732	river sediment
SRR17562734	river sediment
SRR17562737	river sediment
SRR17562739	river sediment
SRR17562741	river sediment
SRR17562743	river sediment
SRR17562745	river sediment
SRR17562747	river sediment
SRR17562749	river sediment
SRR17562751	river sediment
SRR17562753	river sediment
SRR16472893	estuarine sediment
SRR16472894	estuarine sediment
SRR16472896	estuarine sediment
SRR16472897	estuarine sediment
SRR16472898	estuarine sediment
SRR16472899	estuarine sediment
SRR16472900	estuarine sediment
SRR16472901	estuarine sediment
SRR16472902	estuarine sediment
SRR16472903	estuarine sediment
SRR16472904	estuarine sediment
SRR16472905	estuarine sediment
SRR16472906	estuarine sediment
SRR16472907	estuarine sediment
SRR16472908	estuarine sediment
SRR16472909	estuarine sediment
SRR16472910	estuarine sediment
SRR16472912	estuarine sediment
SRR16472913	estuarine sediment
SRR16472914	estuarine sediment
SRR16472915	estuarine sediment
SRR16472916	estuarine sediment
SRR16472917	estuarine sediment
SRR16472918	estuarine sediment
SRR16472919	estuarine sediment
SRR16472920	estuarine sediment
SRR16472921	estuarine sediment
SRR16472922	estuarine sediment
SRR16472923	estuarine sediment
SRR16472924	estuarine sediment
SRR16472925	estuarine sediment
SRR16472926	estuarine sediment
SRR16472927	estuarine sediment
SRR16472928	estuarine sediment
SRR16472929	estuarine sediment
SRR16472930	estuarine sediment
SRR16123807	forest soil
SRR16123808	forest soil
SRR16123809	forest soil
SRR16123810	forest soil
SRR16123811	forest soil
SRR16123812	forest soil
SRR16123813	forest soil
SRR16123814	forest soil
SRR16123815	forest soil
SRR16085950	river sediment
SRR16085951	river sediment
SRR16085952	river sediment
SRR16085953	river sediment
SRR16085954	river sediment
SRR16085955	river sediment
SRR16085956	river sediment
SRR16085957	river sediment
SRR16085958	river sediment
SRR15144437	estuarine sediment
SRR15144438	estuarine sediment
SRR14768607	estuarine sediment
SRR14768608	estuarine sediment
SRR14768609	estuarine sediment
SRR14768610	estuarine sediment
SRR14768611	estuarine sediment
SRR14751589	river sediment
SRR14751590	river sediment
SRR14751593	river sediment
SRR14751598	river sediment
SRR14639171	river sediment
SRR14639172	river sediment
SRR14639179	river sediment
SRR14639180	river sediment
SRR14368543	freshwater
SRR14368544	freshwater
SRR14368545	freshwater
SRR14368546	freshwater
ERR5003150	river sediment
ERR5003149	river sediment
ERR5003148	river sediment
ERR5003146	river sediment
ERR5003145	river sediment
ERR5003143	river sediment
ERR5003142	river sediment
ERR5003141	river sediment
ERR5001871	river sediment
ERR5001870	river sediment
